Model,Accuracy,Precision,Recall,F1-score
naive_bayes,0.6147718066432623,0.7525495577569081,0.42015950844045985,0.4490720725033716
xgboost,0.575411828247367,0.554573925803117,0.4494815485912766,0.47877563079499386
svm,0.558601134215501,0.5550132757969347,0.40188017815880495,0.421658777986404
log_reg,0.5560356467728869,0.5535822797814578,0.4034495677617712,0.4305952766571954
random_forest,0.5113421550094518,0.5663608449872253,0.34615418476969617,0.3760664343583378
