Model,Accuracy,Precision,Recall,F1-score
svm,0.6411018093437754,0.6004356826165349,0.6410608525056052,0.6107083095756459
log_reg,0.6409667836889009,0.5924353835780646,0.6421032906218432,0.606784004394816
naive_bayes,0.6194301917364299,0.5761258651963617,0.6301185657885745,0.5859467995279055
xgboost,0.5847961112611396,0.5511966762733226,0.5838009602286104,0.558802147514262
random_forest,0.5638671347556036,0.5169013746898136,0.5627002908304639,0.5303855405146718
